#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-03-07T08:33:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56dd3cc3122a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/552/A16&tab:{J/A+A/552/A16/limb1-4}&key:source=J/A+A/552/A16/limb1-4&HTTPPRM:&
#-source=J/A+A/552/A16/limb1-4
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=Filt
#-out=Met
#-out=Mod
#-out=u
#-out=Merit
#Merit=Merit
#-out=a
#-out=b
#-out=c
#-out=d
#-out=e
#-out=f
#

#RESOURCE=yCat_35520016
#Name: J/A+A/552/A16
#Title: Limb-darkening for CoRoT, Kepler, Spitzer. II. (Claret+, 2013)
#Table	J_A_A_552_A16_limb1-4:
#Name: J/A+A/552/A16/limb1-4
#Title: 1- and 2-parameter limb-darkening coefficients for quasi-spherical PHOENIX models: quadratic {\em(a,b)}, root-square {\em(c,d)} and logarithmic {\em(e,f)}, (equations 2, 3 and 4)
#Column	logg	(F5.2)	[2.5/5.5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[5000/10000] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[0] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[2] Microturbulent velocity {xi}	[ucd=phys.veloc]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[LF] Method (Least-Square or Flux Conservation)	[ucd=meta.id;stat.fit]
#Column	Mod	(A2)	[qs] quasi-spherical PHOENIX model	[ucd=stat.param;meta.modelled]
#Column	u	(F8.4)	Linear limb darkening coefficient u (G2)	[ucd=pos.distance]
#Column	Merit	(a5)	Corresponding figure of merit	[ucd=meta.ref.url]
#Column	a	(F8.4)	Quadratic limb darkening coefficient a (G2)	[ucd=phot.limbDark]
#Column	b	(F8.4)	Quadratic limb darkening coefficient b (G2)	[ucd=phot.limbDark]
#Column	c	(F8.4)	Root-square limb darkening coefficient c (G2)	[ucd=phot.limbDark]
#Column	d	(F8.4)	Root-square limb darkening coefficient d (G2)	[ucd=phot.limbDark]
#Column	e	(F8.4)	Logarithmic limb darkening coefficient e (G2)	[ucd=phot.limbDark]
#Column	f	(F8.4)	Logarithmic limb darkening coefficient f (G2)	[ucd=phot.limbDark]
logg|Teff|Z|xi|Filt|Met|Mod|u|Merit|a|b|c|d|e|f
 4.50|  6600| 0.0| 2.0|b |L|qs|  0.6541|Merit|  0.4693|  0.2747|  0.1448|  0.7839|  0.8054|  0.2908
 5.00|  6600| 0.0| 2.0|b |L|qs|  0.6643|Merit|  0.4664|  0.2944|  0.1229|  0.8335|  0.8258|  0.3102
 5.50|  6600| 0.0| 2.0|b |L|qs|  0.6343|Merit|  0.4323|  0.3005|  0.0746|  0.8619|  0.8006|  0.3191
 3.00|  6700| 0.0| 2.0|b |L|qs|  0.7622|Merit|  0.4577|  0.4501| -0.1339|  1.3756|  1.0182|  0.4962
 3.50|  6700| 0.0| 2.0|b |L|qs|  0.7081|Merit|  0.4997|  0.3090|  0.1415|  0.8710|  0.8763|  0.3247
 4.00|  6700| 0.0| 2.0|b |L|qs|  0.6918|Merit|  0.5029|  0.2806|  0.1808|  0.7861|  0.8443|  0.2937
 4.50|  6700| 0.0| 2.0|b |L|qs|  0.6469|Merit|  0.4554|  0.2846|  0.1191|  0.8124|  0.8037|  0.3014
 5.00|  6700| 0.0| 2.0|b |L|qs|  0.6566|Merit|  0.4522|  0.3040|  0.0970|  0.8616|  0.8235|  0.3205
 5.50|  6700| 0.0| 2.0|b |L|qs|  0.6261|Merit|  0.4192|  0.3078|  0.0524|  0.8833|  0.7964|  0.3270
 3.00|  6800| 0.0| 2.0|b |L|qs|  0.7589|Merit|  0.4179|  0.5039| -0.2488|  1.5466|  1.0462|  0.5571
 3.50|  6800| 0.0| 2.0|b |L|qs|  0.7009|Merit|  0.4760|  0.3334|  0.0882|  0.9416|  0.8826|  0.3508
 4.00|  6800| 0.0| 2.0|b |L|qs|  0.6844|Merit|  0.4840|  0.2977|  0.1414|  0.8353|  0.8464|  0.3119
 4.50|  6800| 0.0| 2.0|b |L|qs|  0.6732|Merit|  0.4822|  0.2840|  0.1559|  0.7962|  0.8279|  0.2974
 5.00|  6800| 0.0| 2.0|b |L|qs|  0.6490|Merit|  0.4385|  0.3131|  0.0721|  0.8882|  0.8210|  0.3303
 5.50|  6800| 0.0| 2.0|b |L|qs|  0.6177|Merit|  0.4070|  0.3135|  0.0329|  0.9005|  0.7913|  0.3333
 3.00|  6900| 0.0| 2.0|b |L|qs|  0.7614|Merit|  0.3906|  0.5478| -0.3374|  1.6861|  1.0741|  0.6068
 3.50|  6900| 0.0| 2.0|b |L|qs|  0.6934|Merit|  0.4517|  0.3581|  0.0338|  1.0137|  0.8888|  0.3774
 4.00|  6900| 0.0| 2.0|b |L|qs|  0.6768|Merit|  0.4642|  0.3157|  0.1001|  0.8872|  0.8488|  0.3311
 4.50|  6900| 0.0| 2.0|b |L|qs|  0.6657|Merit|  0.4653|  0.2980|  0.1222|  0.8366|  0.8282|  0.3123
 5.00|  6900| 0.0| 2.0|b |L|qs|  0.6416|Merit|  0.4250|  0.3222|  0.0475|  0.9147|  0.8187|  0.3401
 5.50|  6900| 0.0| 2.0|b |L|qs|  0.6099|Merit|  0.3958|  0.3186|  0.0153|  0.9156|  0.7864|  0.3388
 3.00|  7000| 0.0| 2.0|b |L|qs|  0.7529|Merit|  0.3398|  0.6100| -0.4734|  1.8814|  1.1015|  0.6767
 3.50|  7000| 0.0| 2.0|b |L|qs|  0.6854|Merit|  0.4258|  0.3846| -0.0250|  1.0915|  0.8955|  0.4060
 4.00|  7000| 0.0| 2.0|b |L|qs|  0.6688|Merit|  0.4433|  0.3348|  0.0558|  0.9429|  0.8514|  0.3517
 4.50|  7000| 0.0| 2.0|b |L|qs|  0.6581|Merit|  0.4478|  0.3126|  0.0869|  0.8791|  0.8287|  0.3280
 5.00|  7000| 0.0| 2.0|b |L|qs|  0.6342|Merit|  0.4114|  0.3314|  0.0225|  0.9418|  0.8164|  0.3500
 5.50|  7000| 0.0| 2.0|b |L|qs|  0.6028|Merit|  0.3849|  0.3243| -0.0026|  0.9323|  0.7825|  0.3449
 3.00|  7200| 0.0| 2.0|b |L|qs|  0.7452|Merit|  0.2619|  0.7134| -0.6918|  2.2043|  1.1533|  0.7927
 3.50|  7200| 0.0| 2.0|b |L|qs|  0.6689|Merit|  0.3720|  0.4395| -0.1484|  1.2555|  0.9098|  0.4659
 4.00|  7200| 0.0| 2.0|b |L|qs|  0.6520|Merit|  0.3991|  0.3753| -0.0384|  1.0618|  0.8572|  0.3954
 4.50|  7200| 0.0| 2.0|b |L|qs|  0.6422|Merit|  0.4109|  0.3438|  0.0115|  0.9705|  0.8302|  0.3616
 5.00|  7200| 0.0| 2.0|b |L|qs|  0.6193|Merit|  0.3823|  0.3524| -0.0329|  1.0040|  0.8133|  0.3728
 5.50|  7200| 0.0| 2.0|b |L|qs|  0.5897|Merit|  0.3628|  0.3377| -0.0413|  0.9716|  0.7769|  0.3594
 3.00|  7400| 0.0| 2.0|b |L|qs|  0.7328|Merit|  0.1837|  0.8102| -0.9009|  2.5055|  1.1965|  0.9012
 3.50|  7400| 0.0| 2.0|b |L|qs|  0.6512|Merit|  0.3156|  0.4966| -0.2802|  1.4306|  0.9247|  0.5292
 4.00|  7400| 0.0| 2.0|b |L|qs|  0.6336|Merit|  0.3526|  0.4169| -0.1377|  1.1861|  0.8622|  0.4408
 4.50|  7400| 0.0| 2.0|b |L|qs|  0.6251|Merit|  0.3713|  0.3771| -0.0699|  1.0695|  0.8319|  0.3979
 5.00|  7400| 0.0| 2.0|b |L|qs|  0.6034|Merit|  0.3503|  0.3764| -0.0955|  1.0760|  0.8111|  0.3990
 5.50|  7400| 0.0| 2.0|b |L|qs|  0.5942|Merit|  0.3458|  0.3696| -0.0932|  1.0585|  0.7985|  0.3922
 3.00|  7600| 0.0| 2.0|b |L|qs|  0.7273|Merit|  0.1272|  0.8851| -1.0595|  2.7399|  1.2342|  0.9856
 3.50|  7600| 0.0| 2.0|b |L|qs|  0.6324|Merit|  0.2603|  0.5505| -0.4115|  1.6030|  0.9374|  0.5905
 4.00|  7600| 0.0| 2.0|b |L|qs|  0.6141|Merit|  0.3058|  0.4573| -0.2376|  1.3094|  0.8658|  0.4855
 4.50|  7600| 0.0| 2.0|b |L|qs|  0.6069|Merit|  0.3302|  0.4110| -0.1547|  1.1717|  0.8329|  0.4351
 5.00|  7600| 0.0| 2.0|b |L|qs|  0.5865|Merit|  0.3174|  0.4002| -0.1595|  1.1484|  0.8079|  0.4253
 5.50|  7600| 0.0| 2.0|b |L|qs|  0.5790|Merit|  0.3182|  0.3879| -0.1449|  1.1145|  0.7938|  0.4125
 3.00|  7800| 0.0| 2.0|b |L|qs|  0.6802|Merit|  0.0144|  0.9819| -1.3336|  3.0878|  1.2482|  1.1047
 3.50|  7800| 0.0| 2.0|b |L|qs|  0.6182|Merit|  0.2023|  0.6153| -0.5733|  1.8294|  0.9633|  0.6683
 4.00|  7800| 0.0| 2.0|b |L|qs|  0.5938|Merit|  0.2608|  0.4938| -0.3324|  1.4237|  0.8666|  0.5266
 4.50|  7800| 0.0| 2.0|b |L|qs|  0.5871|Merit|  0.2883|  0.4438| -0.2402|  1.2727|  0.8320|  0.4715
 5.00|  7800| 0.0| 2.0|b |L|qs|  0.5688|Merit|  0.2832|  0.4246| -0.2265|  1.2241|  0.8043|  0.4526
 5.50|  7800| 0.0| 2.0|b |L|qs|  0.5627|Merit|  0.2890|  0.4072| -0.1999|  1.1742|  0.7888|  0.4341
 3.00|  8000| 0.0| 2.0|b |L|qs|  0.6897|Merit|  0.0163|  0.9930| -1.3555|  3.1358|  1.2656|  1.1204
 3.50|  8000| 0.0| 2.0|b |L|qs|  0.6071|Merit|  0.1581|  0.6639| -0.7012|  2.0085|  0.9832|  0.7287
 4.00|  8000| 0.0| 2.0|b |L|qs|  0.5735|Merit|  0.2206|  0.5230| -0.4148|  1.5189|  0.8636|  0.5602
 4.50|  8000| 0.0| 2.0|b |L|qs|  0.5664|Merit|  0.2483|  0.4723| -0.3197|  1.3630|  0.8280|  0.5038
 5.00|  8000| 0.0| 2.0|b |L|qs|  0.5494|Merit|  0.2491|  0.4464| -0.2910|  1.2936|  0.7978|  0.4773
 5.50|  8000| 0.0| 2.0|b |L|qs|  0.5454|Merit|  0.2591|  0.4258| -0.2554|  1.2329|  0.7823|  0.4550
 3.00|  8200| 0.0| 2.0|b |L|qs|  0.7283|Merit|  0.0907|  0.9400| -1.2037|  2.9621|  1.2727|  1.0592
 3.50|  8200| 0.0| 2.0|b |L|qs|  0.6080|Merit|  0.1519|  0.6743| -0.7408|  2.0706|  0.9934|  0.7468
 4.00|  8200| 0.0| 2.0|b |L|qs|  0.5567|Merit|  0.1934|  0.5383| -0.4676|  1.5740|  0.8565|  0.5791
 4.50|  8200| 0.0| 2.0|b |L|qs|  0.5237|Merit|  0.2099|  0.4657| -0.3611|  1.3608|  0.7836|  0.5007
 5.00|  8200| 0.0| 2.0|b |L|qs|  0.5292|Merit|  0.2160|  0.4655| -0.3519|  1.3560|  0.7889|  0.4994
 5.50|  8200| 0.0| 2.0|b |L|qs|  0.5270|Merit|  0.2290|  0.4432| -0.3103|  1.2890|  0.7742|  0.4750
 3.00|  8400| 0.0| 2.0|b |L|qs|  0.7411|Merit|  0.1278|  0.9042| -1.1372|  2.8796|  1.2684|  1.0260
 3.50|  8400| 0.0| 2.0|b |L|qs|  0.6252|Merit|  0.1882|  0.6460| -0.6901|  2.0191|  0.9983|  0.7231
 4.00|  8400| 0.0| 2.0|b |L|qs|  0.5453|Merit|  0.1826|  0.5374| -0.4836|  1.5810|  0.8457|  0.5803
 4.50|  8400| 0.0| 2.0|b |L|qs|  0.5082|Merit|  0.1856|  0.4788| -0.4055|  1.4051|  0.7760|  0.5161
 5.00|  8400| 0.0| 2.0|b |L|qs|  0.5092|Merit|  0.1872|  0.4784| -0.4011|  1.4008|  0.7769|  0.5149
 5.50|  8400| 0.0| 2.0|b |L|qs|  0.5079|Merit|  0.2004|  0.4573| -0.3601|  1.3362|  0.7637|  0.4915
 3.00|  8600| 0.0| 2.0|b |L|qs|  0.7394|Merit|  0.1088|  0.9297| -1.1931|  2.9626|  1.2818|  1.0555
 3.50|  8600| 0.0| 2.0|b |L|qs|  0.6429|Merit|  0.2349|  0.6032| -0.5995|  1.9070|  0.9936|  0.6798
 4.00|  8600| 0.0| 2.0|b |L|qs|  0.5501|Merit|  0.2127|  0.4999| -0.4123|  1.4788|  0.8304|  0.5416
 4.50|  8600| 0.0| 2.0|b |L|qs|  0.4967|Merit|  0.1714|  0.4827| -0.4278|  1.4217|  0.7673|  0.5215
 5.00|  8600| 0.0| 2.0|b |L|qs|  0.4903|Merit|  0.1641|  0.4847| -0.4363|  1.4258|  0.7623|  0.5232
 5.50|  8600| 0.0| 2.0|b |L|qs|  0.4883|Merit|  0.1743|  0.4671| -0.4024|  1.3713|  0.7504|  0.5035
 3.00|  8800| 0.0| 2.0|b |L|qs|  0.7303|Merit|  0.0677|  0.9769| -1.3006|  3.1134|  1.3004|  1.1093
 3.50|  8800| 0.0| 2.0|b |L|qs|  0.6451|Merit|  0.2455|  0.5907| -0.5896|  1.8952|  0.9917|  0.6718
 4.00|  8800| 0.0| 2.0|b |L|qs|  0.5674|Merit|  0.2841|  0.4197| -0.2401|  1.2407|  0.8026|  0.4544
 4.50|  8800| 0.0| 2.0|b |L|qs|  0.5028|Merit|  0.2029|  0.4449| -0.3468|  1.3064|  0.7516|  0.4798
 5.00|  8800| 0.0| 2.0|b |L|qs|  0.4831|Merit|  0.1930|  0.4311| -0.3380|  1.2635|  0.7244|  0.4643
 5.50|  8800| 0.0| 2.0|b |L|qs|  0.4762|Merit|  0.2000|  0.4108| -0.3049|  1.2024|  0.7062|  0.4419
 3.00|  9000| 0.0| 2.0|b |L|qs|  0.7250|Merit|  0.0308|  1.0232| -1.3999|  3.2573|  1.3217|  1.1614
 3.50|  9000| 0.0| 2.0|b |L|qs|  0.6379|Merit|  0.2147|  0.6254| -0.6753|  2.0156|  1.0058|  0.7133
 4.00|  9000| 0.0| 2.0|b |L|qs|  0.5655|Merit|  0.2845|  0.4162| -0.2362|  1.2317|  0.7988|  0.4509
 4.50|  9000| 0.0| 2.0|b |L|qs|  0.5086|Merit|  0.2296|  0.4139| -0.2845|  1.2195|  0.7405|  0.4472
 5.00|  9000| 0.0| 2.0|b |L|qs|  0.4708|Merit|  0.1858|  0.4234| -0.3380|  1.2444|  0.7082|  0.4568
 5.50|  9000| 0.0| 2.0|b |L|qs|  0.4600|Merit|  0.1850|  0.4089| -0.3198|  1.2004|  0.6894|  0.4407
 3.00|  9200| 0.0| 2.0|b |L|qs|  0.7224|Merit| -0.0044|  1.0712| -1.4971|  3.4022|  1.3462|  1.2144
 3.50|  9200| 0.0| 2.0|b |L|qs|  0.6296|Merit|  0.1814|  0.6623| -0.7686|  2.1460|  1.0205|  0.7580
 4.00|  9200| 0.0| 2.0|b |L|qs|  0.5742|Merit|  0.3276|  0.3652| -0.1371|  1.0928|  0.7803|  0.3984
 4.50|  9200| 0.0| 2.0|b |L|qs|  0.5287|Merit|  0.2750|  0.3764| -0.1911|  1.1069|  0.7394|  0.4062
 5.00|  9200| 0.0| 2.0|b |L|qs|  0.4655|Merit|  0.1867|  0.4141| -0.3272|  1.2195|  0.6979|  0.4473
 5.50|  9200| 0.0| 2.0|b |L|qs|  0.4473|Merit|  0.1729|  0.4081| -0.3329|  1.2010|  0.6765|  0.4405
 3.00|  9400| 0.0| 2.0|b |L|qs|  0.7229|Merit| -0.0395|  1.1236| -1.5971|  3.5561|  1.3760|  1.2714
 3.50|  9400| 0.0| 2.0|b |L|qs|  0.6231|Merit|  0.1504|  0.6985| -0.8568|  2.2713|  1.0363|  0.8013
 4.00|  9400| 0.0| 2.0|b |L|qs|  0.5661|Merit|  0.3120|  0.3764| -0.1667|  1.1259|  0.7785|  0.4105
 4.50|  9400| 0.0| 2.0|b |L|qs|  0.5230|Merit|  0.2657|  0.3818| -0.2068|  1.1221|  0.7366|  0.4119
 5.00|  9400| 0.0| 2.0|b |L|qs|  0.4710|Merit|  0.2062|  0.3933| -0.2830|  1.1600|  0.6919|  0.4252
 5.50|  9400| 0.0| 2.0|b |L|qs|  0.4379|Merit|  0.1666|  0.4034| -0.3349|  1.1895|  0.6647|  0.4360
 3.00|  9600| 0.0| 2.0|b |L|qs|  0.7267|Merit| -0.0743|  1.1802| -1.6980|  3.7164|  1.4105|  1.3317
 3.50|  9600| 0.0| 2.0|b |L|qs|  0.6197|Merit|  0.1177|  0.7419| -0.9568|  2.4196|  1.0595|  0.8527
 4.00|  9600| 0.0| 2.0|b |L|qs|  0.5546|Merit|  0.2963|  0.3825| -0.1930|  1.1486|  0.7709|  0.4181
 4.50|  9600| 0.0| 2.0|b |L|qs|  0.5352|Merit|  0.3160|  0.3251| -0.0929|  0.9657|  0.7182|  0.3530
 5.00|  9600| 0.0| 2.0|b |L|qs|  0.4950|Merit|  0.2607|  0.3481| -0.1730|  1.0277|  0.6906|  0.3765
 5.50|  9600| 0.0| 2.0|b |L|qs|  0.4338|Merit|  0.1674|  0.3961| -0.3260|  1.1695|  0.6567|  0.4285
 3.00|  9800| 0.0| 2.0|b |L|qs|  0.7324|Merit| -0.1080|  1.2382| -1.7965|  3.8758|  1.4473|  1.3924
 3.50|  9800| 0.0| 2.0|b |L|qs|  0.6182|Merit|  0.0837|  0.7898| -1.0642|  2.5820|  1.0871|  0.9094
 4.00|  9800| 0.0| 2.0|b |L|qs|  0.5456|Merit|  0.2814|  0.3912| -0.2216|  1.1786|  0.7672|  0.4285
 4.50|  9800| 0.0| 2.0|b |L|qs|  0.5332|Merit|  0.3105|  0.3303| -0.1029|  0.9779|  0.7187|  0.3579
 5.00|  9800| 0.0| 2.0|b |L|qs|  0.4955|Merit|  0.2553|  0.3567| -0.1836|  1.0448|  0.6949|  0.3839
 5.50|  9800| 0.0| 2.0|b |L|qs|  0.4364|Merit|  0.1778|  0.3844| -0.3018|  1.1362|  0.6528|  0.4161
 3.00| 10000| 0.0| 2.0|b |L|qs|  0.7403|Merit| -0.1408|  1.2979| -1.8914|  4.0332|  1.4864|  1.4534
 3.50| 10000| 0.0| 2.0|b |L|qs|  0.6183|Merit|  0.0493|  0.8408| -1.1746|  2.7515|  1.1179|  0.9690
 4.00| 10000| 0.0| 2.0|b |L|qs|  0.5376|Merit|  0.2659|  0.4023| -0.2548|  1.2173|  0.7661|  0.4418
 4.50| 10000| 0.0| 2.0|b |L|qs|  0.5215|Merit|  0.2971|  0.3328| -0.1210|  0.9879|  0.7088|  0.3612
 5.00| 10000| 0.0| 2.0|b |L|qs|  0.5023|Merit|  0.2768|  0.3349| -0.1384|  0.9856|  0.6901|  0.3615
 5.50| 10000| 0.0| 2.0|b |L|qs|  0.4508|Merit|  0.2106|  0.3571| -0.2355|  1.0563|  0.6520|  0.3867
 3.00|  5000| 0.0| 2.0|y |L|qs|  0.7758|Merit|  0.7183|  0.0852|  0.5986|  0.2724|  0.8259|  0.0968
 3.50|  5000| 0.0| 2.0|y |L|qs|  0.7648|Merit|  0.7246|  0.0596|  0.6444|  0.1852|  0.7993|  0.0665
 4.00|  5000| 0.0| 2.0|y |L|qs|  0.7577|Merit|  0.7169|  0.0606|  0.6415|  0.1789|  0.7917|  0.0654
 4.50|  5000| 0.0| 2.0|y |L|qs|  0.7564|Merit|  0.7199|  0.0543|  0.6538|  0.1579|  0.7866|  0.0581
 5.00|  5000| 0.0| 2.0|y |L|qs|  0.7526|Merit|  0.7087|  0.0654|  0.6320|  0.1858|  0.7886|  0.0689
 5.50|  5000| 0.0| 2.0|y |L|qs|  0.7383|Merit|  0.6791|  0.0881|  0.5750|  0.2515|  0.7869|  0.0932
 3.00|  5100| 0.0| 2.0|y |L|qs|  0.7673|Merit|  0.7017|  0.0972|  0.5675|  0.3072|  0.8241|  0.1096
 3.50|  5100| 0.0| 2.0|y |L|qs|  0.7522|Merit|  0.6957|  0.0839|  0.5888|  0.2514|  0.7997|  0.0915
 4.00|  5100| 0.0| 2.0|y |L|qs|  0.7474|Merit|  0.6973|  0.0744|  0.6058|  0.2179|  0.7889|  0.0799
 4.50|  5100| 0.0| 2.0|y |L|qs|  0.7458|Merit|  0.6996|  0.0687|  0.6167|  0.1987|  0.7839|  0.0733
 5.00|  5100| 0.0| 2.0|y |L|qs|  0.7417|Merit|  0.6864|  0.0823|  0.5902|  0.2333|  0.7868|  0.0867
 5.50|  5100| 0.0| 2.0|y |L|qs|  0.7283|Merit|  0.6590|  0.1031|  0.5376|  0.2937|  0.7850|  0.1089
 3.00|  5200| 0.0| 2.0|y |L|qs|  0.7588|Merit|  0.6859|  0.1081|  0.5385|  0.3386|  0.8216|  0.1212
 3.50|  5200| 0.0| 2.0|y |L|qs|  0.7428|Merit|  0.6784|  0.0956|  0.5579|  0.2845|  0.7967|  0.1038
 4.00|  5200| 0.0| 2.0|y |L|qs|  0.7374|Merit|  0.6788|  0.0870|  0.5725|  0.2538|  0.7858|  0.0933
 4.50|  5200| 0.0| 2.0|y |L|qs|  0.7362|Merit|  0.6808|  0.0824|  0.5819|  0.2376|  0.7818|  0.0877
 5.00|  5200| 0.0| 2.0|y |L|qs|  0.7309|Merit|  0.6647|  0.0984|  0.5498|  0.2788|  0.7848|  0.1036
 5.50|  5200| 0.0| 2.0|y |L|qs|  0.7315|Merit|  0.6654|  0.0983|  0.5516|  0.2771|  0.7853|  0.1032
 3.00|  5300| 0.0| 2.0|y |L|qs|  0.7474|Merit|  0.6573|  0.1337|  0.4812|  0.4092|  0.8240|  0.1477
 3.50|  5300| 0.0| 2.0|y |L|qs|  0.7336|Merit|  0.6618|  0.1067|  0.5284|  0.3157|  0.7936|  0.1154
 4.00|  5300| 0.0| 2.0|y |L|qs|  0.7277|Merit|  0.6613|  0.0986|  0.5414|  0.2866|  0.7825|  0.1055
 4.50|  5300| 0.0| 2.0|y |L|qs|  0.7260|Merit|  0.6622|  0.0948|  0.5487|  0.2729|  0.7784|  0.1008
 5.00|  5300| 0.0| 2.0|y |L|qs|  0.7197|Merit|  0.6429|  0.1142|  0.5096|  0.3235|  0.7823|  0.1202
 5.50|  5300| 0.0| 2.0|y |L|qs|  0.7209|Merit|  0.6442|  0.1141|  0.5114|  0.3227|  0.7835|  0.1200
 3.00|  5400| 0.0| 2.0|y |L|qs|  0.7393|Merit|  0.6407|  0.1461|  0.4498|  0.4449|  0.8226|  0.1609
 3.50|  5400| 0.0| 2.0|y |L|qs|  0.7248|Merit|  0.6458|  0.1173|  0.4999|  0.3458|  0.7905|  0.1266
 4.00|  5400| 0.0| 2.0|y |L|qs|  0.7182|Merit|  0.6444|  0.1096|  0.5115|  0.3181|  0.7791|  0.1172
 4.50|  5400| 0.0| 2.0|y |L|qs|  0.7089|Merit|  0.6228|  0.1280|  0.4720|  0.3646|  0.7793|  0.1353
 5.00|  5400| 0.0| 2.0|y |L|qs|  0.7088|Merit|  0.6222|  0.1288|  0.4717|  0.3650|  0.7794|  0.1357
 5.50|  5400| 0.0| 2.0|y |L|qs|  0.7103|Merit|  0.6236|  0.1290|  0.4734|  0.3648|  0.7810|  0.1357
 3.00|  5500| 0.0| 2.0|y |L|qs|  0.7315|Merit|  0.6262|  0.1562|  0.4236|  0.4733|  0.8203|  0.1715
 3.50|  5500| 0.0| 2.0|y |L|qs|  0.7162|Merit|  0.6303|  0.1275|  0.4726|  0.3747|  0.7875|  0.1374
 4.00|  5500| 0.0| 2.0|y |L|qs|  0.7089|Merit|  0.6283|  0.1197|  0.4836|  0.3467|  0.7753|  0.1278
 4.50|  5500| 0.0| 2.0|y |L|qs|  0.6987|Merit|  0.6038|  0.1410|  0.4379|  0.4015|  0.7762|  0.1490
 5.00|  5500| 0.0| 2.0|y |L|qs|  0.6984|Merit|  0.6023|  0.1430|  0.4352|  0.4052|  0.7768|  0.1506
 5.50|  5500| 0.0| 2.0|y |L|qs|  0.6993|Merit|  0.6035|  0.1426|  0.4372|  0.4036|  0.7775|  0.1501
 3.00|  5600| 0.0| 2.0|y |L|qs|  0.7237|Merit|  0.6110|  0.1671|  0.3954|  0.5047|  0.8186|  0.1831
 3.50|  5600| 0.0| 2.0|y |L|qs|  0.7078|Merit|  0.6155|  0.1370|  0.4468|  0.4015|  0.7843|  0.1474
 4.00|  5600| 0.0| 2.0|y |L|qs|  0.6999|Merit|  0.6132|  0.1289|  0.4578|  0.3726|  0.7713|  0.1375
 4.50|  5600| 0.0| 2.0|y |L|qs|  0.6886|Merit|  0.5858|  0.1528|  0.4061|  0.4349|  0.7726|  0.1614
 5.00|  5600| 0.0| 2.0|y |L|qs|  0.6877|Merit|  0.5832|  0.1555|  0.4014|  0.4409|  0.7731|  0.1638
 5.50|  5600| 0.0| 2.0|y |L|qs|  0.6805|Merit|  0.5604|  0.1787|  0.3520|  0.5059|  0.7785|  0.1882
 3.00|  5700| 0.0| 2.0|y |L|qs|  0.7164|Merit|  0.5959|  0.1786|  0.3665|  0.5378|  0.8176|  0.1953
 3.50|  5700| 0.0| 2.0|y |L|qs|  0.6996|Merit|  0.6011|  0.1462|  0.4220|  0.4270|  0.7811|  0.1569
 4.00|  5700| 0.0| 2.0|y |L|qs|  0.6829|Merit|  0.5759|  0.1590|  0.3875|  0.4545|  0.7704|  0.1684
 4.50|  5700| 0.0| 2.0|y |L|qs|  0.6789|Merit|  0.5687|  0.1640|  0.3757|  0.4667|  0.7691|  0.1732
 5.00|  5700| 0.0| 2.0|y |L|qs|  0.6774|Merit|  0.5652|  0.1668|  0.3700|  0.4733|  0.7690|  0.1759
 5.50|  5700| 0.0| 2.0|y |L|qs|  0.6689|Merit|  0.5392|  0.1932|  0.3135|  0.5474|  0.7750|  0.2035
 3.00|  5800| 0.0| 2.0|y |L|qs|  0.7092|Merit|  0.5813|  0.1896|  0.3388|  0.5693|  0.8164|  0.2070
 3.50|  5800| 0.0| 2.0|y |L|qs|  0.6918|Merit|  0.5875|  0.1550|  0.3982|  0.4516|  0.7781|  0.1661
 4.00|  5800| 0.0| 2.0|y |L|qs|  0.6739|Merit|  0.5601|  0.1691|  0.3597|  0.4835|  0.7671|  0.1792
 4.50|  5800| 0.0| 2.0|y |L|qs|  0.6696|Merit|  0.5527|  0.1739|  0.3482|  0.4948|  0.7652|  0.1837
 5.00|  5800| 0.0| 2.0|y |L|qs|  0.6673|Merit|  0.5482|  0.1771|  0.3409|  0.5026|  0.7646|  0.1868
 5.50|  5800| 0.0| 2.0|y |L|qs|  0.6576|Merit|  0.5190|  0.2063|  0.2776|  0.5852|  0.7710|  0.2175
 3.00|  5900| 0.0| 2.0|y |L|qs|  0.7025|Merit|  0.5667|  0.2014|  0.3100|  0.6032|  0.8162|  0.2195
 3.50|  5900| 0.0| 2.0|y |L|qs|  0.6844|Merit|  0.5741|  0.1639|  0.3748|  0.4763|  0.7755|  0.1754
 4.00|  5900| 0.0| 2.0|y |L|qs|  0.6652|Merit|  0.5452|  0.1784|  0.3342|  0.5094|  0.7634|  0.1888
 4.50|  5900| 0.0| 2.0|y |L|qs|  0.6605|Merit|  0.5375|  0.1830|  0.3224|  0.5205|  0.7611|  0.1932
